eid,index,afid,name,domain,url,variants
10-s2.0-110465720,20311,110465720,Agência de Desenvolvimento Agrário e Extensão Rural - Gerência Desenvolvimento Agrário,,,"['Agência De Desenvolvimento Agrário E Extensão Rural', 'Aĝencia De Desenvolvimento Agr̀ario E Extens̃ao Rural', 'Agência De Desenvolvimento Agrário E Extensão Rural - Gerência Desenvolvimento Agrário', 'Agência De Desenvolvimento Agrário E Extensão Rural (agraer)']"
10-s2.0-124777050,20310,124777050,Instituto Federal de Educação,,,['Instituto Federal De Educação']
10-s2.0-107907265,20313,107907265,CAV/UDESC,,,['Cav/udesc']
10-s2.0-116471660,20316,116471660,apto 1 - Centro,,,['apto 1 - Centro']
10-s2.0-116471953,20315,116471953,University of the State of Mato Grosso do Sul (UEMS),,,"['University Of State Of Mato Grosso Do Sul (uems)', 'University Of The State Of Mato Grosso Do Sul (uems)', 'Mato Grosso Do Sul State University (uems)']"
10-s2.0-116471411,20314,116471411,Rua Gomes Barbosa,,,['Rua Gomes Barbosa']
10-s2.0-101724057,20317,101724057,Universidade Passo Fundo (2012),,,"['Universidade Passo Fundo (2012)', 'Universidade Passo Fundo']"
10-s2.0-116471540,20320,116471540,Centro,,,['Centro']
10-s2.0-116471741,20318,116471741,Bolsista Capes/Prosup/UPF,,,['Bolsista Capes/Prosup/UPF']
10-s2.0-116434613,20322,116434613,Sul Florestas,,,['Sul Florestas']
10-s2.0-108157347,20324,108157347,Instituto Floresta Tropical,,,"['Instituto Floresta Tropical', 'Inst. Floresta Tropical', 'Ift-instituto Floresta Tropical']"
10-s2.0-116429900,20325,116429900,OR Seeds,,,['Or Seeds']
10-s2.0-113727434,20323,113727434,CENIBRA,,,[]
10-s2.0-116429485,20327,116429485,Clínica Veterinária Pet Dream,,,['Clínica Veterinária Pet Dream']
10-s2.0-116429705,20328,116429705,UTF,,,['UTF']
10-s2.0-100407006,20326,100407006,UPF,,,"['Upf', 'Ice-upf', 'Iceg-upf', 'Fea-upf']"
10-s2.0-116430857,20329,116430857,Departamento de Zoneamento Territorial,,,['Departamento de Zoneamento Territorial']
10-s2.0-113501696,20331,113501696,IFMT,,,['Ifmt']
10-s2.0-116429911,20333,116429911,Autônomos,,,['Autônomos']
10-s2.0-116430963,20332,116430963,M.e em Ciências Agrárias ICA-UFMG,,,['M.e em Ciências Agrárias ICA-UFMG']
10-s2.0-114469832,20334,114469832,Universidade Estadual de Santa Gruz,,,"['Universidade Estadual De Santa Gruz', 'Universidade Estadual De Santa Cru', 'Universidade Estadual D Santa Cruz', 'Uesc–universidade Estadual De Santa Cruz']"
10-s2.0-116370365,20335,116370365,Comércio de Sementes Ltda,,,['Comércio de Sementes Ltda']
10-s2.0-128497872,20337,128497872,Duratex,,,['Duratex']
10-s2.0-116353825,20336,116353825,Consulting and Training in Integrated Pest Management,,,['Consulting and Training in Integrated Pest Management']
10-s2.0-112510923,20339,112510923,Cooperativa Agroindustrial dos Produtores Rurais do Sudoeste Goiano,,,"['Cooperativa Agroindustrial dos Produtos Rurais do Sudoeste Goiano', 'Cooperativa Agroindustrial dos Produtores Rurais do Sudoeste Goiano Ltda', 'Cooperativa Mista dos Produtores Rurais do Sudoeste de Goiás Ltda.', 'Cooperativa Agroindustrial dos Produtores Rurais do Sudoeste Goiano']"
10-s2.0-116325094,20338,116325094,Ramires Reflortec,,,['Ramires Reflortec']
